degree,count
1,4448
2,8393
3,8103
4,7300
5,7147
6,10106
7,10734
8,10986
9,10384
10,10212
11,7516
12,5482
13,4118
14,3028
15,2307
16,1706
17,1252
18,984
19,758
20,609
21,498
22,436
23,349
24,314
25,245
26,235
27,213
28,182
29,157
30,164
31,124
32,114
33,105
34,116
35,107
36,83
37,93
38,94
39,74
40,92
41,70
42,77
43,51
44,88
45,69
46,58
47,76
48,68
49,68
50,54
51,58
52,50
53,57
54,51
55,46
56,51
57,47
58,40
59,48
60,49
61,35
62,44
63,45
64,47
65,20
66,47
67,38
68,43
69,24
70,25
71,33
72,30
73,28
74,30
75,42
76,29
77,22
78,20
79,29
80,25
81,29
82,23
83,36
84,29
85,19
86,29
87,26
88,14
89,20
90,17
91,23
92,12
93,23
94,21
95,25
96,21
97,22
98,12
99,23
100,20
101,28
102,17
103,21
104,16
105,22
106,20
107,17
108,18
109,17
110,20
111,7
112,9
113,12
114,19
115,12
116,13
117,15
118,17
119,9
120,13
121,16
122,10
123,7
124,15
125,7
126,16
127,15
128,13
129,14
130,14
131,9
132,9
133,13
134,11
135,11
136,8
137,8
138,10
139,8
140,9
141,11
142,4
143,13
144,10
145,10
146,3
147,5
148,9
149,5
150,11
151,10
152,6
153,5
154,12
155,11
156,15
157,6
158,10
159,11
160,7
161,4
162,6
163,6
164,9
165,3
166,8
167,6
168,4
169,9
170,7
171,13
172,7
173,10
174,11
175,8
176,11
177,13
178,3
179,7
180,6
181,3
182,4
183,8
184,5
185,7
186,3
187,7
188,2
189,8
190,6
191,3
192,6
193,10
194,6
195,7
196,6
197,9
198,6
199,4
200,1
201,5
202,6
203,7
204,8
205,3
206,8
207,4
208,7
209,7
210,4
211,4
212,7
213,4
214,3
215,6
216,3
217,7
218,4
219,6
220,3
221,2
222,1
223,6
224,2
225,3
226,3
227,5
228,3
230,1
231,4
232,3
233,4
234,2
235,3
237,4
238,5
239,3
240,7
241,4
242,1
243,6
244,2
245,2
246,5
247,5
248,2
249,2
250,5
251,2
252,2
253,3
254,1
255,2
256,2
257,1
258,3
259,3
260,2
261,1
262,4
265,1
266,1
267,3
268,6
269,1
270,4
271,1
272,1
273,3
274,3
275,1
277,1
278,4
279,1
280,2
282,2
283,3
284,2
285,1
286,2
287,6
288,3
289,3
290,2
291,3
292,1
293,2
294,1
295,2
296,1
297,3
299,3
300,2
301,1
302,3
304,1
305,1
306,3
307,2
309,1
310,1
311,3
314,1
315,2
316,2
317,1
318,1
319,1
320,3
321,1
323,1
324,1
325,1
327,1
328,1
331,2
332,1
335,2
336,2
338,1
339,1
340,2
341,3
343,2
344,2
345,1
347,2
348,1
349,1
352,4
353,2
354,2
355,1
356,1
357,1
358,1
359,1
361,2
362,3
363,1
364,2
367,1
368,2
370,5
371,2
372,1
373,2
374,1
375,2
376,3
378,1
380,2
383,3
384,2
385,1
387,1
388,2
389,1
390,2
391,2
392,2
393,1
396,2
397,1
398,2
399,1
400,2
401,2
403,1
404,1
405,1
406,1
408,1
409,2
411,1
413,1
414,1
415,1
416,2
418,1
420,2
422,1
426,1
427,1
428,1
431,1
433,2
434,1
440,1
441,1
444,1
452,1
455,1
458,1
461,1
464,2
465,4
466,1
468,1
470,2
472,3
473,1
476,2
477,1
479,1
480,3
481,2
484,1
488,1
489,2
492,1
493,1
494,1
496,1
503,1
508,1
510,1
511,1
513,1
520,1
521,2
522,2
524,1
525,1
527,1
529,1
531,1
532,1
534,1
535,3
537,1
538,1
539,1
543,1
545,1
547,1
548,1
550,2
551,1
554,1
556,2
559,1
577,1
596,1
602,1
610,2
615,1
620,1
621,1
633,1
648,1
653,1
654,1
678,1
702,1
729,1
765,1
829,1
834,1
960,1
976,1
983,1
1042,1
1059,1
1115,1
1190,1
1350,1
1393,1
1581,1
1643,1
1673,1
1854,1
5167,1
12263,1
61604,1
