u,v,weight_sum,edge_count,multi_sum
0_0,0_140,7.0,7,7
0_0,0_62,4.0,4,4
0_0,0_73,1.0,1,1
0_0,0_59,2.0,2,2
0_0,0_133,1.0,1,1
0_0,0_68,1.0,1,1
0_0,0_58,1.0,1,1
0_1,0_57,346.0,346,366
0_1,0_146,12.0,12,13
0_1,0_153,87.0,87,91
0_1,0_140,1575.0,1575,1575
0_1,0_62,1058.0,1058,1086
0_1,0_3,51.0,51,51
0_1,0_218,3.0,3,3
0_1,0_137,17.0,17,17
0_1,0_4,67.0,67,67
0_1,0_123,27.0,27,27
0_1,0_60,352.0,352,354
0_1,0_32,10.0,10,10
0_1,0_210,99.0,99,100
0_1,0_24,141.0,141,141
0_1,0_33,33.0,33,35
0_1,0_175,157.0,157,160
0_1,0_12,78.0,78,82
0_1,0_2,139.0,139,146
0_1,0_28,62.0,62,64
0_1,0_78,23.0,23,27
0_1,0_156,17.0,17,18
0_1,0_236,23.0,23,23
0_1,0_15,44.0,44,47
0_1,0_228,14.0,14,14
0_1,0_13,23.0,23,23
0_1,0_120,7.0,7,7
0_1,0_40,4.0,4,4
0_1,0_221,14.0,14,15
0_1,0_55,103.0,103,103
0_1,0_220,87.0,87,88
0_1,0_134,26.0,26,27
0_1,0_22,75.0,75,75
0_1,0_157,6.0,6,8
0_1,0_71,39.0,39,41
0_1,0_5,33.0,33,33
0_1,0_16,38.0,38,40
0_1,0_108,23.0,23,26
0_1,0_41,125.0,125,128
0_1,0_141,28.0,28,28
0_1,0_154,8.0,8,8
0_1,0_188,32.0,32,32
0_1,0_204,41.0,41,41
0_1,0_227,5.0,5,6
0_1,0_151,27.0,27,27
0_1,0_43,15.0,15,16
0_1,0_115,13.0,13,13
0_1,0_225,10.0,10,10
0_1,0_176,7.0,7,8
0_1,0_205,19.0,19,19
0_1,0_216,38.0,38,38
0_1,0_10,61.0,61,65
0_1,0_144,5.0,5,5
0_1,0_9,42.0,42,43
0_1,0_114,12.0,12,12
0_1,0_52,2.0,2,2
0_1,0_132,43.0,43,45
0_1,0_194,1.0,1,1
0_1,0_138,24.0,24,27
0_1,0_34,12.0,12,13
0_1,0_72,19.0,19,19
0_1,0_223,23.0,23,23
0_1,0_29,6.0,6,6
0_1,0_49,8.0,8,8
0_1,0_42,10.0,10,10
0_1,0_209,12.0,12,12
0_1,0_169,10.0,10,10
0_1,0_215,20.0,20,20
0_1,0_219,16.0,16,16
0_1,0_192,3.0,3,3
0_1,0_69,28.0,28,28
0_1,0_183,32.0,32,33
0_1,0_112,15.0,15,15
0_1,0_189,4.0,4,4
0_1,0_158,6.0,6,6
0_1,0_67,13.0,13,13
0_1,0_56,23.0,23,23
0_1,0_217,47.0,47,47
0_1,0_229,10.0,10,11
0_1,0_119,16.0,16,16
0_1,0_165,5.0,5,5
0_1,0_21,25.0,25,27
0_1,0_206,30.0,30,30
0_1,0_226,9.0,9,9
0_1,0_68,16.0,16,16
0_1,0_136,18.0,18,18
0_1,0_54,5.0,5,5
0_1,0_148,2.0,2,2
0_1,0_213,25.0,25,25
0_1,0_237,2.0,2,3
0_1,0_58,10.0,10,10
0_1,0_75,8.0,8,9
0_1,0_51,1.0,1,1
0_1,0_214,1.0,1,1
0_1,0_130,14.0,14,14
0_1,0_117,24.0,24,26
