cluster_id,size
0_0,20
0_1,1858
0_2,3501
0_3,2900
0_4,3063
0_5,2572
0_6,288
0_7,1781
0_8,132
0_9,2251
0_10,2095
0_11,438
0_12,1615
0_13,3362
0_14,2249
0_15,3893
0_16,2462
0_17,240
0_18,520
0_19,1254
0_20,592
0_21,988
0_22,2865
0_23,4
0_24,1572
0_25,50
0_26,200
0_27,677
0_28,2574
0_29,917
0_30,221
0_31,559
0_32,1254
0_33,677
0_34,275
0_35,285
0_36,94
0_37,195
0_38,203
0_39,195
0_40,204
0_41,461
0_42,1135
0_43,931
0_44,185
0_45,107
0_46,85
0_47,296
0_48,3
0_49,257
0_50,285
0_51,171
0_52,116
0_53,115
0_54,62
0_55,134
0_56,547
0_57,2106
0_58,376
0_59,351
0_60,3421
0_61,436
0_62,3438
0_63,163
0_64,5
0_65,256
0_66,164
0_67,415
0_68,384
0_69,301
0_70,413
0_71,565
0_72,246
0_73,1559
0_74,218
0_75,588
0_76,108
0_77,347
0_78,2065
0_79,14
0_80,604
0_81,471
0_82,300
0_83,3
0_84,31
0_85,12
0_86,503
0_87,15
0_88,198
0_89,31
0_90,1047
0_91,128
0_92,4
0_93,19
0_94,136
0_95,4
0_96,40
0_97,206
0_98,174
0_99,9
0_100,241
0_101,178
0_102,380
0_103,126
0_104,185
0_105,313
0_106,132
0_107,139
0_108,311
0_109,295
0_110,149
0_111,105
0_112,220
0_113,116
0_114,159
0_115,412
0_116,68
0_117,544
0_118,87
0_119,126
0_120,573
0_121,44
0_122,61
0_123,716
0_124,86
0_125,46
0_126,99
0_127,382
0_128,50
0_129,48
0_130,210
0_131,324
0_132,1984
0_133,1158
0_134,1857
0_135,1078
0_136,1709
0_137,2378
0_138,1044
0_139,246
0_140,1490
0_141,642
0_142,209
0_143,141
0_144,226
0_145,392
0_146,474
0_147,140
0_148,81
0_149,395
0_150,337
0_151,440
0_152,26
0_153,562
0_154,451
0_155,103
0_156,675
0_157,456
0_158,927
0_159,640
0_160,28
0_161,547
0_162,1211
0_163,199
0_164,69
0_165,122
0_166,239
0_167,849
0_168,20
0_169,425
0_170,111
0_171,230
0_172,11
0_173,75
0_174,51
0_175,659
0_176,94
0_177,77
0_178,149
0_179,29
0_180,48
0_181,93
0_182,65
0_183,321
0_184,13
0_185,8
0_186,160
0_187,40
0_188,847
0_189,82
0_190,73
0_191,72
0_192,100
0_193,6
0_194,64
0_195,108
0_196,4
0_197,4
0_198,69
0_199,114
0_200,50
0_201,102
0_202,64
0_203,60
0_204,324
0_205,515
0_206,351
0_207,123
0_208,77
0_209,148
0_210,265
0_211,48
0_212,173
0_213,171
0_214,39
0_215,491
0_216,581
0_217,656
0_218,50
0_219,248
0_220,1172
0_221,580
0_222,57
0_223,667
0_224,215
0_225,215
0_226,212
0_227,90
0_228,146
0_229,312
0_230,522
0_231,1010
0_232,145
0_233,124
0_234,203
0_235,63
0_236,275
0_237,78
1_0,4
2_0,7
3_0,3
5_0,3
6_0,3
