level,cut_weight,num_clusters,border_pairs,border_edge_count,border_weight_sum
0,,1,0,0,0.0
1,0.0,6,0,0,0.0
2,1.0,7,1,1,1.0
3,2.0,8,3,3,3.0
4,4.0,10,9,11,11.0
5,5.0,11,11,16,16.0
6,8.0,12,14,24,24.0
7,10.0,13,20,34,34.0
8,12.0,14,26,46,46.0
9,15.0,15,33,61,61.0
10,17.0,16,40,78,78.0
11,18.0,17,50,96,96.0
12,24.0,18,60,120,120.0
13,25.0,20,82,170,170.0
14,26.0,21,91,196,196.0
15,28.0,22,106,224,224.0
16,29.0,23,111,253,253.0
17,31.0,26,141,345,345.0
18,35.0,27,156,380,380.0
19,44.0,28,175,424,424.0
20,46.0,29,184,469,469.0
21,48.0,30,194,517,517.0
22,49.0,31,215,566,566.0
23,50.0,32,229,616,616.0
24,53.0,33,237,669,669.0
25,63.0,35,264,790,790.0
26,64.0,36,277,854,854.0
27,73.0,38,309,1000,1000.0
28,79.0,39,342,1079,1079.0
29,80.0,40,366,1159,1159.0
30,81.0,41,377,1240,1240.0
31,83.0,42,400,1323,1323.0
32,85.0,43,414,1405,1405.0
33,91.0,44,433,1496,1496.0
34,97.0,45,466,1593,1593.0
35,106.0,46,479,1698,1698.0
36,107.0,47,508,1805,1805.0
37,111.0,48,530,1916,1916.0
38,112.0,50,599,2140,2140.0
39,113.0,51,628,2253,2253.0
40,118.0,52,643,2369,2369.0
41,120.0,53,682,2487,2487.0
42,131.0,54,697,2616,2616.0
43,135.0,55,720,2744,2744.0
44,139.0,57,781,3019,3019.0
45,143.0,58,805,3160,3160.0
46,144.0,59,838,3304,3304.0
47,148.0,61,902,3598,3598.0
48,151.0,62,934,3748,3748.0
49,153.0,63,982,3896,3896.0
50,157.0,64,1020,4052,4052.0
51,168.0,65,1057,4209,4209.0
52,173.0,66,1088,4379,4379.0
53,176.0,67,1128,4555,4555.0
54,178.0,68,1152,4732,4732.0
55,182.0,69,1193,4914,4914.0
56,187.0,70,1226,5094,5094.0
57,190.0,71,1265,5282,5282.0
58,196.0,72,1309,5478,5478.0
59,197.0,73,1352,5672,5672.0
