leaf_cluster_id,block_id
0_0,0
0_1,1
0_2,1
0_3,1
0_4,1
0_5,1
0_6,2
0_7,1
0_8,3
0_9,1
0_10,1
0_11,4
0_12,1
0_13,1
0_14,1
0_15,1
0_16,1
0_17,5
0_18,6
0_19,1
0_20,7
0_21,8
0_22,1
0_23,9
0_24,1
0_25,10
0_26,11
0_27,1
0_28,1
0_29,1
0_30,12
0_31,1
0_32,1
0_33,1
0_34,13
0_35,14
0_36,15
0_37,16
0_38,17
0_39,18
0_40,19
0_41,20
0_42,1
0_43,1
0_44,21
0_45,22
0_46,23
0_47,24
0_48,25
0_49,26
0_50,27
0_51,28
0_52,29
0_53,30
0_54,31
0_55,32
0_56,33
0_57,1
0_58,34
0_59,35
0_60,1
0_61,36
0_62,1
0_63,37
0_64,38
0_65,39
0_66,40
0_67,41
0_68,42
0_69,43
0_70,44
0_71,45
0_72,46
0_73,1
0_74,47
0_75,1
0_76,48
0_77,49
0_78,1
0_79,50
0_80,51
0_81,1
0_82,52
0_83,53
0_84,54
0_85,55
0_86,1
0_87,56
0_88,57
0_89,58
0_90,1
0_91,59
0_92,60
0_93,61
0_94,62
0_95,63
0_96,64
0_97,65
0_98,66
0_99,67
0_100,68
0_101,69
0_102,70
0_103,71
0_104,72
0_105,73
0_106,74
0_107,75
0_108,76
0_109,77
0_110,78
0_111,79
0_112,80
0_113,81
0_114,82
0_115,83
0_116,84
0_117,85
0_118,86
0_119,87
0_120,88
0_121,89
0_122,90
0_123,1
0_124,91
0_125,92
0_126,93
0_127,94
0_128,95
0_129,96
0_130,97
0_131,98
0_132,1
0_133,1
0_134,1
0_135,1
0_136,1
0_137,1
0_138,1
0_139,99
0_140,1
0_141,100
0_142,101
0_143,102
0_144,1
0_145,1
0_146,1
0_147,103
0_148,104
0_149,105
0_150,1
0_151,1
0_152,106
0_153,1
0_154,1
0_155,107
0_156,1
0_157,1
0_158,1
0_159,1
0_160,108
0_161,109
0_162,1
0_163,110
0_164,111
0_165,112
0_166,113
0_167,114
0_168,115
0_169,116
0_170,117
0_171,118
0_172,119
0_173,120
0_174,121
0_175,1
0_176,122
0_177,123
0_178,124
0_179,125
0_180,126
0_181,127
0_182,128
0_183,129
0_184,130
0_185,131
0_186,132
0_187,133
0_188,1
0_189,134
0_190,135
0_191,136
0_192,137
0_193,138
0_194,139
0_195,140
0_196,141
0_197,142
0_198,143
0_199,144
0_200,145
0_201,146
0_202,147
0_203,148
0_204,1
0_205,1
0_206,149
0_207,150
0_208,151
0_209,152
0_210,153
0_211,154
0_212,155
0_213,156
0_214,157
0_215,1
0_216,1
0_217,1
0_218,158
0_219,159
0_220,1
0_221,1
0_222,160
0_223,1
0_224,161
0_225,162
0_226,163
0_227,164
0_228,165
0_229,166
0_230,1
0_231,1
0_232,167
0_233,168
0_234,169
0_235,170
0_236,171
0_237,172
1_0,173
2_0,174
3_0,175
5_0,176
6_0,177
